MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,USERNAME,UDATE,UTIME,TCODE,LANGU
M1,BELEG,M1V1060839P36,11952,Roy Ortego,2020-12-11,13:24:18,123,E
M1,BELEG,M1V375393P2141,11976,Suellen Noecker,2021-01-21,15:41:06,123,E
M1,BELEG,M1V299727P3,12013,Roy Ortego,2020-08-16,02:33:08,123,E
M1,BELEG,M1V375357P36,12030,Karri Ptacek,2021-01-29,19:02:30,123,E
M1,BELEG,M1V375451P3,12109,Roy Ortego,2021-01-27,13:28:46,123,E
M1,BELEG,M1V375438P1427,12116,Emmie Schuldt,2021-01-09,20:04:03,123,E
M1,BELEG,M1V299617P36,12124,Roy Ortego,2020-07-26,22:57:29,123,E
M1,BELEG,M1V374406P28,12132,Roy Ortego,2021-01-11,14:20:49,123,E
M1,BELEG,M1V374385P28,12139,Suellen Noecker,2021-01-21,01:40:25,123,E
M1,BELEG,M1V374389P28,12147,Kenia Romine,2021-01-13,08:01:15,123,E
M1,BELEG,M1V375274P18,12154,Roy Ortego,2021-01-16,10:03:26,123,E
M1,BELEG,M1V377506P44,12162,Roy Ortego,2021-01-25,06:29:39,123,E
M1,BELEG,M1V377545P12,12200,Roy Ortego,2021-01-25,23:57:22,123,E
M1,BELEG,M1V377456P3,12208,Roy Ortego,2021-01-18,02:45:15,123,E
M1,BELEG,M1V376617P44,12216,Suellen Noecker,2021-01-18,21:11:26,123,E
M1,BELEG,M1V377484P3134,12229,Emilio Sones,2021-01-30,22:24:08,123,E
M1,BELEG,M1V377616P3,12251,Karri Ptacek,2021-01-17,00:03:45,123,E
M1,BELEG,M1V377568P3,12301,Roy Ortego,2021-02-01,13:23:30,123,E
M1,BELEG,M1V376439P36,12338,Roy Ortego,2021-01-20,14:56:43,123,E
M1,BELEG,M1V376419P18,12346,Roy Ortego,2021-02-02,15:58:37,123,E
M1,BELEG,M1V376547P44,12359,Roy Ortego,2021-02-02,06:32:36,123,E
M1,BELEG,M1V376523P12,12366,Roy Ortego,2021-02-02,04:34:45,123,E
M1,BELEG,M1V372199P18,12382,Roy Ortego,2021-01-14,19:31:51,123,E
M1,BELEG,M1V372140P51,12390,BATCH_JOB,2020-12-31,03:57:46,123,E
M1,BELEG,M1V299370P1427,12398,Roy Ortego,2020-09-24,20:03:05,123,E
M1,BELEG,M1V372152P865,12410,Roy Ortego,2021-02-03,06:48:37,123,E
M1,BELEG,M1V371185P3,12432,Roy Ortego,2021-01-12,00:22:53,123,E
M1,BELEG,M1V299272P60,12439,Roy Ortego,2020-07-24,19:59:02,123,E
M1,BELEG,M1V371145P3,12446,Roy Ortego,2021-01-22,12:15:04,123,E
M1,BELEG,M1V372110P160,12478,Roy Ortego,2021-01-15,06:06:02,123,E
M1,BELEG,M1V372110P60,12485,Roy Ortego,2021-01-16,18:06:44,123,E
M1,BELEG,M1V371257P51,12501,Roy Ortego,2021-01-26,00:38:14,123,E
M1,BELEG,M1V373389P51,12562,Roy Ortego,2021-01-08,09:17:59,123,E
M1,BELEG,M1V299599P12,12600,Karri Ptacek,2020-08-01,07:43:28,123,E
M1,BELEG,M1V299599P3,12607,Roy Ortego,2020-08-08,13:14:48,123,E
M1,BELEG,M1V299596P18,12620,Emmie Schuldt,2020-07-30,17:16:49,123,E
M1,BELEG,M1V373140P1427,12684,Roy Ortego,2021-01-14,18:09:34,123,E
M1,BELEG,M1V382134P28,12729,Roy Ortego,2021-01-27,00:41:58,123,E
M1,BELEG,M1V383006P3,12736,Roy Ortego,2021-02-01,13:44:42,123,E
M1,BELEG,M1V382095P3,12748,Kenia Romine,2021-02-06,10:31:30,123,E
M1,BELEG,M1V382127P18,12756,Roy Ortego,2021-03-04,00:33:28,123,E
M1,BELEG,M1V382125P12,12763,Roy Ortego,2021-02-05,03:36:08,123,E
M1,BELEG,M1V383049P12,12781,Roy Ortego,2021-02-12,13:19:28,123,E
M1,BELEG,M1V381910P60,12813,Emilio Sones,2021-02-13,19:33:25,123,E
M1,BELEG,M1V381940P70,12827,Roy Ortego,2021-03-12,10:02:14,123,E
M1,BELEG,M1V382043P3,12867,Roy Ortego,2021-02-10,01:38:08,123,E
M1,BELEG,M1V381966P120,12874,Emilio Sones,2021-02-19,20:45:51,123,E
M1,BELEG,M1V381968P12,12905,Roy Ortego,2021-01-24,03:31:06,123,E
M1,BELEG,M1V381988P18,12913,Suellen Noecker,2021-02-02,22:16:03,123,E
M1,BELEG,M1V381989P12,12921,Kenia Romine,2021-01-25,14:07:54,123,E
M1,BELEG,M1V381970P90,12953,Emmie Schuldt,2021-01-24,19:34:24,123,E
M1,BELEG,M1V384323P12,12960,Roy Ortego,2021-02-25,10:09:02,123,E
M1,BELEG,M1V384330P1427,13002,Roy Ortego,2021-01-30,23:18:14,123,E
M1,BELEG,M1V384432P3,13017,Roy Ortego,2021-02-26,04:40:31,123,E
M1,BELEG,M1V384438P12,13025,Emmie Schuldt,2021-01-31,01:45:46,123,E
M1,BELEG,M1V384419P5042,13064,Roy Ortego,2021-02-06,01:50:38,123,E
M1,BELEG,M1V385330P3,13072,Roy Ortego,2021-02-05,19:26:08,123,E
M1,BELEG,M1V384385P28,13083,Roy Ortego,2021-01-27,16:45:07,123,E
M1,BELEG,M1V300557P44,13097,Roy Ortego,2020-08-25,02:15:29,123,E
M1,BELEG,M1V384419P4896,13104,Roy Ortego,2021-01-31,00:33:33,123,E
M1,BELEG,M1V383255P12,13119,Roy Ortego,2021-02-21,03:37:02,123,E
M1,BELEG,M1V383303P18,13181,Kenia Romine,2021-02-18,01:44:35,123,E
M1,BELEG,M1V384158P4685,13197,Roy Ortego,2021-03-14,21:45:51,123,E
M1,BELEG,M1V378719P3,13211,Roy Ortego,2021-02-12,18:07:58,123,E
M1,BELEG,M1V379744P28,13232,Roy Ortego,2021-02-08,08:50:13,123,E
M1,BELEG,M1V379740P3,13239,Roy Ortego,2021-01-30,21:49:23,123,E
M1,BELEG,M1V378820P44,13246,Suellen Noecker,2021-02-09,03:37:36,123,E
M1,BELEG,M1V379674P3,13253,Roy Ortego,2021-02-01,00:44:11,123,E
M1,BELEG,M1V378582P28,13263,Roy Ortego,2021-02-05,14:39:59,123,E
M1,BELEG,M1V377670P12,13273,Roy Ortego,2021-02-14,15:21:08,123,E
M1,BELEG,M1V377680P3,13280,Roy Ortego,2021-01-22,02:58:23,123,E
M1,BELEG,M1V378664P3,13294,Roy Ortego,2021-02-22,12:04:46,123,E
M1,BELEG,M1V378601P3,13318,Karri Ptacek,2021-02-15,22:54:15,123,E
M1,BELEG,M1V300021P36,13325,Kenia Romine,2020-07-28,16:57:16,123,E
M1,BELEG,M1V380882P3,13332,Emilio Sones,2021-02-04,22:07:22,123,E
M1,BELEG,M1V300223P44,13339,Roy Ortego,2020-08-04,01:31:02,123,E
M1,BELEG,M1V380853P3,13347,Roy Ortego,2021-02-04,23:40:10,123,E
M1,BELEG,M1V300232P3,13364,Roy Ortego,2020-08-01,16:17:52,123,E
M1,BELEG,M1V380944P12,13445,Roy Ortego,2021-01-28,11:07:29,123,E
M1,BELEG,M1V380924P2820,13467,Roy Ortego,2021-02-10,08:09:48,123,E
M1,BELEG,M1V379815P100,13474,Roy Ortego,2021-01-22,02:18:29,123,E
M1,BELEG,M1V379848P1427,13481,Roy Ortego,2021-02-17,13:10:27,123,E
M1,BELEG,M1V379850P28,13499,Emilio Sones,2021-01-23,16:28:27,123,E
M1,BELEG,M1V380767P12,13528,Roy Ortego,2021-01-30,22:14:49,123,E
M1,BELEG,M1V379870P160,13535,Roy Ortego,2021-03-09,02:53:14,123,E
M1,BELEG,M1V379870P60,13543,Roy Ortego,2021-03-06,02:34:18,123,E
M1,BELEG,M1V362276P1427,13583,Roy Ortego,2021-01-07,21:23:58,123,E
M1,BELEG,M1V363056P150,13591,Roy Ortego,2020-12-27,18:00:06,123,E
M1,BELEG,M1V362255P18,13604,Roy Ortego,2020-12-18,11:35:48,123,E
M1,BELEG,M1V362259P80,13618,Emmie Schuldt,2020-12-22,04:25:59,123,E
M1,BELEG,M1V363145P2141,13638,Roy Ortego,2020-12-22,01:18:58,123,E
M1,BELEG,M1V363082P18,13681,Roy Ortego,2021-01-15,15:27:46,123,E
M1,BELEG,M1V363087P3,13689,Roy Ortego,2020-12-12,00:05:38,123,E
M1,BELEG,M1V363105P3,13697,Roy Ortego,2021-01-02,16:46:16,123,E
M1,BELEG,M1V362163P60,13725,Emilio Sones,2020-12-20,15:45:49,123,E
M1,BELEG,M1V365073P60,13814,Roy Ortego,2021-03-22,22:12:36,123,E
M1,BELEG,M1V365074P18,13822,Roy Ortego,2021-03-10,11:44:14,123,E
M1,BELEG,M1V364276P160,13829,Emmie Schuldt,2021-01-04,11:57:33,123,E
